ID,period,price,unitp,area,room,bath,terrace,aircon,parking,north,south,east,west,swimpool,garden,duplex,studio,topfloor,conyr,maxfloor,dcount,quality,newdev,dist_city_centre,dist_metro,long,lat
A10668815236174615444,201812,264000,5280,50,2,1,0,1,0,0,1,1,0,0,0,0,0,0,1970,6,14,4,0,1.606306484,0.22606948,-3.715978392,40.42764073
A5284799000430898802,201812,1706000,7353.448276,232,4,4,1,1,1,0,1,1,1,0,0,0,0,0,1963,10,19,5,0,1.118742881,0.261516588,-3.714182301,40.42278696
A8247977989197518188,201812,223000,2230,100,3,2,0,0,0,0,1,0,0,0,0,0,0,0,1950,9,36,5,0,1.098135644,0.424077653,-3.71526153,40.42117668
A5753635378445004210,201812,296000,2312.5,128,3,1,0,1,0,0,0,1,0,0,0,0,0,0,1985,7,29,5,0,1.447851089,0.708541354,-3.719348449,40.42196214
A9099772469370272285,201803,761000,4275.280899,178,3,4,0,1,0,0,0,0,1,0,0,0,0,0,1950,8,17,3,0,1.771019603,0.45408731,-3.719193561,40.42734149
A6806027875884661304,201812,634000,6817.204301,93,2,2,0,0,1,0,1,0,0,0,0,0,0,0,1977,8,9,2,0,2.403826575,0.492924359,-3.723687661,40.43198012
A4300056886089710624,201812,801000,4005,200,8,3,0,1,0,0,0,1,0,0,0,0,0,0,1945,7,16,3,0,1.533817282,0.212385868,-3.715899067,40.42683041
A1507349263258728018,201812,407000,7400,55,1,1,0,1,1,0,0,0,0,1,1,0,0,0,2006,7,55,4,0,3.807792268,0.422395802,-3.712490696,40.45014875
A9517945207312873380,201812,352000,6068.965517,58,1,1,0,1,1,0,0,1,0,1,1,0,0,0,2008,10,106,4,0,3.949758871,0.560465109,-3.713128434,40.45135202
A5212176820487085287,201812,407000,7400,55,1,1,0,0,1,0,0,0,0,1,1,0,0,0,2008,10,106,4,0,3.902620716,0.511465194,-3.713535921,40.45085402
A4988764225545764962,201812,1228000,5990.243902,205,4,3,1,1,1,0,1,0,0,1,1,0,0,0,1975,3,3,3,0,3.589032801,0.07778751,-3.717481998,40.44709987
A1652323745801902955,201812,829000,5213.836478,159,4,3,1,0,0,0,1,1,0,0,0,0,0,0,1975,10,63,4,0,3.651731469,0.270046404,-3.715641534,40.44812929
A9558341116473294150,201812,1356000,5338.582677,254,4,5,1,0,1,0,0,0,0,1,1,0,0,0,1974,4,38,2,1,5.65780612,0.979635507,-3.727511872,40.46410018
A3240898382602188399,201803,311000,4146.666667,75,2,2,0,0,1,0,0,1,0,1,1,0,0,0,2003,6,147,3,0,10.90238732,0.768284007,-3.67681695,40.51235372
A2939442925290676001,201803,169000,5633.333333,30,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1904,5,13,4,0,1.366559286,0.128629838,-3.706511133,40.42868996
A17282106119840585851,201812,316000,3257.731959,97,0,1,0,0,0,1,0,0,0,0,0,0,1,0,2006,6,17,4,0,0.629349852,0.119634823,-3.700250967,40.41161989
A1041631041158072773,201812,573000,4775,120,3,2,1,1,1,0,0,0,0,0,0,0,0,0,1976,5,28,5,0,1.040896121,0.294472308,-3.707706128,40.40772763
A3250673216523993280,201812,767000,3893.401015,197,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1900,6,27,4,0,0.313818957,0.171838689,-3.704812187,40.41388047
A5719932571201398951,201812,574000,4783.333333,120,4,2,0,0,0,0,0,0,0,0,0,0,0,0,1900,7,17,5,0,0.622932627,0.117173131,-3.706814443,40.41148986
